Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
CDC42EP1	ENSG00000128283	"CDC42 effector protein 1"	Q00587	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 70: Non-specific - Protein processing"	12.7	0.0	1.1	582544.0		low	low
CDC42EP2	ENSG00000149798	"CDC42 effector protein 2"	O14613	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 14: Adipose tissue - Angiogenesis"	5.8	0.0	0.0			"not detected"	"not detected"
CDC42EP3	ENSG00000163171	"CDC42 effector protein 3"	Q9UKI2	"Evidence at protein level"			"Cluster 28: Neutrophils - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	54.3	1.2	2.9			medium	medium
CDC42EP4	ENSG00000179604	"CDC42 effector protein 4"	Q9H3Q1	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 70: Non-specific - Protein processing"	28.0	13.6	3.1	276153.2		low	low
CDC42EP5	ENSG00000167617	"CDC42 effector protein 5"	Q6NZY7	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	3.8	0.0	0.0			"not detected"	"not detected"
CDC42SE1	ENSG00000197622	"CDC42 small effector 1"	Q9NRR8	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 11: Esophagus - Basic cellular processes"	21.6	21.1	4.3			"not detected"	"not detected"
CDC42SE2	ENSG00000158985	"CDC42 small effector 2"	Q9NRR3	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	12.2	164.8	15.1			"not detected"	"not detected"
CDC5L	ENSG00000096401	"Cell division cycle 5 like"	Q99459	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	17.0	135.6	6.5	23082153.7	1280093.1	medium	medium
CDC73	ENSG00000134371	"Cell division cycle 73"	Q6P1J9	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 61: Non-specific - Transcription"	6.5	147.4	21.3	7200482.1		medium	medium
CDCA4	ENSG00000170779	"Cell division cycle associated 4"	Q9BXL8	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 44: Bone marrow - Nuclear processes"	1.3	94.7	10.3				
CDCA7	ENSG00000144354	"Cell division cycle associated 7"	Q9BWT1	"Evidence at protein level"			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation"	3.0	18.4	1.7				
CDCA7L	ENSG00000164649	"Cell division cycle associated 7 like"	Q96GN5	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation"	5.8	38.3	1.7			low	low
CDH11	ENSG00000140937	"Cadherin 11"	P55287	"Evidence at protein level"				"Cluster 75: Ovary - Mixed function"	2.4	0.0	0.3			"not detected"	"not detected"
CDH13	ENSG00000140945	"Cadherin 13"	P55290	"Evidence at protein level"	"Intracellular and membrane"	"Cell adhesion"	"Cluster 40: Monocytes - Innate immune response"	"Cluster 12: Smooth muscle tissue - ECM organization"	64.2	1.2	0.0	166700012.6	33913060.5	medium	medium
CDH15	ENSG00000129910	"Cadherin 15"	P55291	"Evidence at protein level"				"Cluster 19: Skeletal muscle - Striated muscle contraction"	54.1	0.0	0.0		188912.5	high	high
CDH19	ENSG00000071991	"Cadherin 19"	Q9H159	"Evidence at protein level"				"Cluster 35: Non-specific - Mixed function"	4.0	0.0	0.0	173948.3			
CDH20	ENSG00000101542	"Cadherin 20"	Q9HBT6	"Evidence at protein level"				"Cluster 3: Oligodendrocytes - Myelination"	4.3	0.4	0.0				
CDH23	ENSG00000107736	"Cadherin related 23"	Q9H251	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 64: Non-specific - Transcription"	2.5	0.4	0.9			medium	medium
CDH4	ENSG00000179242	"Cadherin 4"	P55283	"Evidence at protein level"				"Cluster 78: Brain - Neuronal signaling"	3.5	0.2	0.0				
CDH5	ENSG00000179776	"Cadherin 5"	P33151	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	39.1	0.0	0.0	11822916.3	450518.3	"not detected"	"not detected"
CDH6	ENSG00000113361	"Cadherin 6"	P55285	"Evidence at protein level"				"Cluster 72: Kidney - Transmembrane transport"	1.1	159.5	1.5	1372775.1		medium	medium
CDHR1	ENSG00000148600	"Cadherin related family member 1"	Q96JP9	"Evidence at protein level"	"Intracellular and membrane"	Receptor	"Cluster 15: NK-cells - Unknown function"	"Cluster 42: Retina - Visual perception"	1.0	0.0	0.0			"not detected"	"not detected"
